,user,komunikacyjne,mieszkanie,rolne,upraw,NNW,firm,OC,zwierzat,inne,na_zycie,grupowe,travel,<5000,<10000,<50000,<100000,+1000000,high,low,+100000
0,629632017-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
1,108532001-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
2,34971999-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
3,101332001-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
4,275732006-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
5,201822001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
6,626122017-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
7,295332006-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
8,579192014-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0
9,4561999-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
10,343002009-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
11,58961999-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
12,561452014-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
13,293822006-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
14,597982015-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
15,114192001-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
16,183142001-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
17,266642005-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
18,332492008-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
19,298582006-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
20,623052016-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
21,547362014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
22,302742007-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
23,515892013-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
24,498612012-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
25,558202014-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
26,542102014-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
27,575102014-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
28,114252001-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
29,205372001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
30,281572006-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
31,569592014-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
32,95292001-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
33,44931999-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
34,623492016-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
35,541292014-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
36,609382016-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
37,571762014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
38,62531999-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
39,342922009-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
40,200532001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
41,99762001-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
42,198672001-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
43,524282014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
44,511672013-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
45,215132001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
46,211812001-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
47,291962006-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0
48,306792007-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
49,61561999-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
50,315422007-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
51,576662014-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
52,112832001-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
53,155692001-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
54,340252009-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
55,568672014-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
56,319752008-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
57,557322014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
58,677882019-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
59,212292001-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
60,27091999-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
61,343012009-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
62,44951999-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
63,89572000-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
64,584332014-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
65,627162017-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
66,235952003-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
67,484192011-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
68,537002014-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
69,96672001-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
70,558322014-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
71,190082001-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
72,72851999-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
73,542792014-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
74,294032006-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
75,224202001-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
76,629672017-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
77,578222014-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
78,545872014-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
79,617132016-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
80,342592009-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
81,536432014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
82,44951999-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
83,347222009-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
84,8071999-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
85,164252001-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
86,227482002-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
